"Year, Month",Value
"2005, Jan",24174
"2005, Feb",25479
"2005, Mar",32005
"2005, Apr",34336
"2005, May",31152
"2005, Jun",26908
"2005, Jul",30557
"2005, Aug",31369
"2005, Sep",29446
"2005, Oct",26870
"2005, Nov",23718
"2005, Dec",25276
"2006, Jan",24887
"2006, Feb",25088
"2006, Mar",32312
"2006, Apr",36155
"2006, May",41550
"2006, Jun",37311
"2006, Jul",41800
"2006, Aug",34971
"2006, Sep",32279
"2006, Oct",24642
"2006, Nov",27015
"2006, Dec",29378
"2007, Jan",22519
"2007, Feb",28321
"2007, Mar",34355
"2007, Apr",32289
"2007, May",45238
"2007, Jun",36499
"2007, Jul",29719
"2007, Aug",30491
"2007, Sep",29550
"2007, Oct",25815
"2007, Nov",25012
"2007, Dec",28582
"2008, Jan",20736
"2008, Feb",21202
"2008, Mar",25109
"2008, Apr",32435
"2008, May",52826
"2008, Jun",42180
"2008, Jul",34438
"2008, Aug",29443
"2008, Sep",21316
"2008, Oct",27386
"2008, Nov",21807
"2008, Dec",22129
"2009, Jan",19238
"2009, Feb",18103
"2009, Mar",22257
"2009, Apr",18534
"2009, May",23576
"2009, Jun",19935
"2009, Jul",29593
"2009, Aug",43061
"2009, Sep",20741
"2009, Oct",25717
"2009, Nov",21899
"2009, Dec",34220
"2010, Jan",17121
"2010, Feb",16996
"2010, Mar",29623
"2010, Apr",27932
"2010, May",26953
"2010, Jun",21876
"2010, Jul",27345
"2010, Aug",20280
"2010, Sep",21060
"2010, Oct",18636
"2010, Nov",16202
"2010, Dec",22058
"2011, Jan",20581
"2011, Feb",25860
"2011, Mar",30234
"2011, Apr",24215
"2011, May",16985
"2011, Jun",18872
"2011, Jul",17577
"2011, Aug",16420
"2011, Sep",16147
"2011, Oct",16244
"2011, Nov",16115
"2011, Dec",21009
"2012, Jan",17988
"2012, Feb",44296
"2012, Mar",28289
"2012, Apr",24804
"2012, May",31847
"2012, Jun",26647
"2012, Jul",23640
"2012, Aug",24311
"2012, Sep",23026
"2012, Oct",20949
"2012, Nov",22616
"2012, Dec",24679
"2013, Jan",23822
"2013, Feb",24999
"2013, Mar",31423
"2013, Apr",24273
"2013, May",27997
"2013, Jun",26458
"2013, Jul",24463
"2013, Aug",26861
"2013, Sep",23251
"2013, Oct",23637
"2013, Nov",22434
"2013, Dec",22562
"2014, Jan",22753
"2014, Feb",25299
"2014, Mar",29685
"2014, Apr",29061
"2014, May",36611
"2014, Jun",30945
"2014, Jul",30833
"2014, Aug",33088
"2014, Sep",20530
"2014, Oct",24959
"2014, Nov",25609
"2014, Dec",30125
"2015, Jan",27357
"2015, Feb",27839
"2015, Mar",35532
"2015, Apr",31990
"2015, May",36768
"2015, Jun",30645
"2015, Jul",30249
"2015, Aug",31726
"2015, Sep",26636
"2015, Oct",27951
"2015, Nov",24194
"2015, Dec",32445
"2016, Jan",22362
"2016, Feb",29342
"2016, Mar",32556
"2016, Apr",32111
"2016, May",24872
"2016, Jun",30950
"2016, Jul",31717
"2016, Aug",30741
"2016, Sep",32272
"2016, Oct",29735
"2016, Nov",28262
"2016, Dec",31209
"2017, Jan",21567
"2017, Feb",27161
"2017, Mar",32707
"2017, Apr",31104
"2017, May",32937
"2017, Jun",31051
"2017, Jul",28333
"2017, Aug",27644
"2017, Sep",32769
"2017, Oct",24667
"2017, Nov",19287
"2017, Dec",19969
"2018, Jan",21407
"2018, Feb",25021
"2018, Mar",31392
"2018, Apr",25896
"2018, May",29578
"2018, Jun",28168
"2018, Jul",26754
"2018, Aug",26155
"2018, Sep",20797
"2018, Oct",22020
"2018, Nov",21105
"2018, Dec",25439
"2019, Jan",25113
"2019, Feb",29016
"2019, Mar",24479
"2019, Apr",19679
"2019, May",25712
"2019, Jun",28869
"2019, Jul",30635
"2019, Aug",30121
"2019, Sep",20354
"2019, Oct",22378
"2019, Nov",24752
"2019, Dec",23742
"2020, Jan",23477
"2020, Feb",26590
"2020, Mar",19147
"2020, Apr",7270
"2020, May",16155
"2020, Jun",16963
"2020, Jul",17564
"2020, Aug",19154
"2020, Sep",19894
"2020, Oct",21569
"2020, Nov",23987
"2020, Dec",25409
"2021, Jan",19266
"2021, Feb",22346
"2021, Mar",30908
"2021, Apr",31222
"2021, May",30433
"2021, Jun",21356
"2021, Jul",0
"2021, Aug",22143
"2021, Sep",14275
"2021, Oct",8420
"2021, Nov",8906
"2021, Dec",13940
"2022, Jan",15368
"2022, Feb",15222
"2022, Mar",16911
"2022, Apr",24516
"2022, May",25099
"2022, Jun",19716
"2022, Jul",18206
"2022, Aug",17644
"2022, Sep",18874
"2022, Oct",16663
"2022, Nov",16015
"2022, Dec",17982
"2023, Jan",13049
"2023, Feb",16398
"2023, Mar",13528
"2023, Apr",16729
"2023, May",17308
"2023, Jun",20485
"2023, Jul",21382
"2023, Aug",24134
"2023, Sep",22679
"2023, Oct",22272
"2023, Nov",21005
"2023, Dec",23400
"2024, Jan",17689
"2024, Feb",20054
"2024, Mar",22328
"2024, Apr",22424
"2024, May",21237
"2024, Jun",18259
"2024, Jul",19749
"2024, Aug",19591
"2024, Sep",15761
"2024, Oct",17954
"2024, Nov",20142
"2024, Dec",17720
"2025, Jan",17341
"2025, Feb",16620
"2025, Mar",21495
"2025, Apr",22473
"2025, May",23461
"2025, Jun",18662
"2025, Jul",20018
"2025, Aug",21456
"2025, Sep",18457
"2025, Oct",21351
"2025, Nov",23237
"2025, Dec",23517
"2026, Jan",19420
