"Year, Month",Value
"2005, Jan",8177
"2005, Feb",8502
"2005, Mar",11155
"2005, Apr",10589
"2005, May",11876
"2005, Jun",12018
"2005, Jul",12369
"2005, Aug",10079
"2005, Sep",11172
"2005, Oct",7832
"2005, Nov",8450
"2005, Dec",7270
"2006, Jan",9807
"2006, Feb",9945
"2006, Mar",11035
"2006, Apr",12242
"2006, May",10907
"2006, Jun",9456
"2006, Jul",10268
"2006, Aug",10723
"2006, Sep",9847
"2006, Oct",8406
"2006, Nov",7975
"2006, Dec",7311
"2007, Jan",7878
"2007, Feb",8291
"2007, Mar",9654
"2007, Apr",6502
"2007, May",12758
"2007, Jun",11996
"2007, Jul",9461
"2007, Aug",9076
"2007, Sep",8108
"2007, Oct",7739
"2007, Nov",8180
"2007, Dec",6879
"2008, Jan",7170
"2008, Feb",7309
"2008, Mar",10885
"2008, Apr",8842
"2008, May",13980
"2008, Jun",10918
"2008, Jul",10977
"2008, Aug",9207
"2008, Sep",5348
"2008, Oct",4400
"2008, Nov",4995
"2008, Dec",5766
"2009, Jan",5331
"2009, Feb",5762
"2009, Mar",6940
"2009, Apr",4763
"2009, May",5618
"2009, Jun",5834
"2009, Jul",9496
"2009, Aug",16396
"2009, Sep",5036
"2009, Oct",6128
"2009, Nov",5210
"2009, Dec",6192
"2010, Jan",7514
"2010, Feb",7769
"2010, Mar",8721
"2010, Apr",6587
"2010, May",8968
"2010, Jun",6187
"2010, Jul",9712
"2010, Aug",8206
"2010, Sep",7876
"2010, Oct",5928
"2010, Nov",5817
"2010, Dec",10780
"2011, Jan",9538
"2011, Feb",12599
"2011, Mar",17851
"2011, Apr",9367
"2011, May",7698
"2011, Jun",8077
"2011, Jul",8730
"2011, Aug",8061
"2011, Sep",8105
"2011, Oct",8384
"2011, Nov",7871
"2011, Dec",8710
"2012, Jan",7066
"2012, Feb",21210
"2012, Mar",14092
"2012, Apr",7410
"2012, May",7600
"2012, Jun",9211
"2012, Jul",9888
"2012, Aug",10623
"2012, Sep",9345
"2012, Oct",5624
"2012, Nov",7176
"2012, Dec",7755
"2013, Jan",8979
"2013, Feb",10058
"2013, Mar",13965
"2013, Apr",10734
"2013, May",12504
"2013, Jun",10199
"2013, Jul",11439
"2013, Aug",12605
"2013, Sep",7798
"2013, Oct",8399
"2013, Nov",11664
"2013, Dec",10799
"2014, Jan",9127
"2014, Feb",12339
"2014, Mar",19323
"2014, Apr",14080
"2014, May",21932
"2014, Jun",17097
"2014, Jul",17579
"2014, Aug",17182
"2014, Sep",12557
"2014, Oct",13129
"2014, Nov",13530
"2014, Dec",15393
"2015, Jan",14395
"2015, Feb",15354
"2015, Mar",21277
"2015, Apr",17059
"2015, May",20616
"2015, Jun",17200
"2015, Jul",18511
"2015, Aug",15662
"2015, Sep",14196
"2015, Oct",14974
"2015, Nov",14505
"2015, Dec",19760
"2016, Jan",16144
"2016, Feb",20599
"2016, Mar",26201
"2016, Apr",19145
"2016, May",20204
"2016, Jun",20721
"2016, Jul",18536
"2016, Aug",14256
"2016, Sep",13670
"2016, Oct",14168
"2016, Nov",14028
"2016, Dec",17037
"2017, Jan",13444
"2017, Feb",16010
"2017, Mar",21960
"2017, Apr",20255
"2017, May",18371
"2017, Jun",22534
"2017, Jul",18724
"2017, Aug",15285
"2017, Sep",19128
"2017, Oct",18341
"2017, Nov",17565
"2017, Dec",16834
"2018, Jan",17731
"2018, Feb",17148
"2018, Mar",25123
"2018, Apr",16999
"2018, May",18103
"2018, Jun",20572
"2018, Jul",19362
"2018, Aug",13314
"2018, Sep",16795
"2018, Oct",17611
"2018, Nov",12721
"2018, Dec",17567
"2019, Jan",14088
"2019, Feb",17072
"2019, Mar",25633
"2019, Apr",13051
"2019, May",18831
"2019, Jun",21224
"2019, Jul",16365
"2019, Aug",11393
"2019, Sep",10493
"2019, Oct",13889
"2019, Nov",11546
"2019, Dec",11033
"2020, Jan",7756
"2020, Feb",10041
"2020, Mar",6082
"2020, Apr",3583
"2020, May",7963
"2020, Jun",8361
"2020, Jul",9147
"2020, Aug",8131
"2020, Sep",8808
"2020, Oct",8357
"2020, Nov",6865
"2020, Dec",9551
"2021, Jan",11916
"2021, Feb",11916
"2021, Mar",13406
"2021, Apr",13716
"2021, May",13189
"2021, Jun",13716
"2021, Jul",11125
"2021, Aug",10713
"2021, Sep",11125
"2021, Oct",5680
"2021, Nov",5680
"2021, Dec",5680
"2022, Jan",8682
"2022, Feb",8682
"2022, Mar",9767
"2022, Apr",5894
"2022, May",5675
"2022, Jun",5675
"2022, Jul",6110
"2022, Aug",6345
"2022, Sep",6110
"2022, Oct",4728
"2022, Nov",4539
"2022, Dec",4917
"2023, Jan",7407
"2023, Feb",7111
"2023, Mar",7999
"2023, Apr",11797
"2023, May",11344
"2023, Jun",11797
"2023, Jul",10132
"2023, Aug",10943
"2023, Sep",10537
"2023, Oct",6621
"2023, Nov",6621
"2023, Dec",6886
"2024, Jan",13185
"2024, Feb",13185
"2024, Mar",13712
"2024, Apr",15892
"2024, May",16528
"2024, Jun",16528
"2024, Jul",11416
"2024, Aug",12786
"2024, Sep",10503
"2024, Oct",8530
"2024, Nov",10103
"2024, Dec",10384
"2025, Jan",18179
"2025, Feb",17451
"2025, Mar",18906
"2025, Apr",10463
"2025, May",10866
"2025, Jun",9658
"2025, Jul",13795
"2025, Aug",12065
"2025, Sep",14358
"2025, Oct",9290
"2025, Nov",8602
"2025, Dec",8946
"2026, Jan",
